timestamp,x,y,label,session_id
1694326182.2363312,869,509,start,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.237337,759,532,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.2403305,526,569,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.241333,505,573,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.2483478,491,576,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.255991,484,578,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.2630033,473,583,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.271001,469,585,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.2785199,467,586,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.2855165,466,587,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.3309307,466,587,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.3319266,466,588,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.3389757,465,589,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.3460016,462,591,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.352979,459,592,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.3610818,456,593,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.3680794,454,594,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.3757331,449,596,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.383743,446,597,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.3907251,442,599,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.3986707,433,602,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.4056692,427,604,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.4136722,420,606,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.420672,412,608,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.4286716,406,609,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.4356697,403,609,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.443671,402,609,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.4742138,402,609,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.4742138,402,609,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.4812124,403,607,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.4882126,406,606,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.4957886,412,603,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.5037756,417,601,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.5107803,430,598,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.5187745,440,595,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.5257838,462,590,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.533721,477,588,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.5407798,492,587,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.548764,504,585,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.5555887,517,584,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.5626316,523,584,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.5706177,527,584,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.5781384,529,584,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.5861413,529,584,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.6980195,530,584,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.7210815,531,584,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.7439368,531,584,path,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.7697303,523,496,end,f99905fd-793a-4b5b-b19e-9e5dc36ac496
1694326182.9243104,532,584,start,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326182.9314392,532,584,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326182.9389179,533,584,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326182.945915,534,584,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326182.9529045,535,584,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326182.9603329,540,583,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326182.9683573,549,581,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326182.9759173,557,579,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326182.9829144,569,575,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326182.991025,587,572,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326182.9986959,600,568,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.0057578,629,563,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.0127287,684,544,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.0207713,722,532,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.027849,798,508,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.036161,863,489,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.042844,938,472,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.0511088,1012,461,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.0581982,1107,452,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.0663064,1204,452,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.0728602,1275,452,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.0806336,1334,452,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.0885582,1391,452,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.0966163,1427,453,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.1037369,1463,455,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.1115565,1476,456,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.1185431,1492,457,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.1266193,1501,458,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.1335962,1504,459,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.1415484,1504,459,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.1565459,1504,459,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.170681,1503,460,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.1783526,1503,461,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.185347,1497,463,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.1953523,1494,465,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
1694326183.201343,1492,466,path,eaaa9b01-1837-4eff-abde-0a0a37dfd58c
